date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:12:16	204/204	---M--	200	added ('OK')	text/plain	date:Tue,%2029%20Mar%202011%2005:49:05%20GMT	http://www.cascaderate.com/robots.txt		(from )
00:12:17	7864/7864	---MC-	200	added ('OK')	text/html	etag:%22a53532174a0c576f86613cfa7a95f961%22	http://www.cascaderate.com/	www.cascaderate.com/index.html	(from )
00:12:17	7864/7864	---MC-	200	added ('OK')	text/html	etag:%22a53532174a0c576f86613cfa7a95f961%22	http://www.cascaderate.com/welcome	www.cascaderate.com/welcome.html	(from )
00:12:17	12041/12041	---MC-	200	added ('OK')	text/html	etag:%2271542c198df726aa91abff8f8abdedd8%22	http://www.cascaderate.com/features	www.cascaderate.com/features.html	(from )
00:12:18	7844/7844	---MC-	200	added ('OK')	text/html	etag:%22d46a88d22d1abb1dad9beed31f7c2572%22	http://www.cascaderate.com/pricing	www.cascaderate.com/pricing.html	(from )
00:12:18	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2026%20Sep%202011%2007:12:18%20GMT	http://www.cascaderate.com/users/sign_up	www.cascaderate.com/users/sign_up.3.delayed	(from )
00:12:19	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2026%20Sep%202011%2007:12:19%20GMT	http://www.cascaderate.com/users/sign_in	www.cascaderate.com/users/sign_in.5.delayed	(from )
00:12:19	7142/7142	---MC-	200	added ('OK')	text/html	etag:%2224a5997ee7fa4ba0a115b206f06405ef%22	https://www.cascaderate.com/users/sign_up	www.cascaderate.com/users/sign_up.html	(from )
00:12:20	18465/18465	---MC-	200	added ('OK')	text/html	etag:%2248629955b13f809659aa9e48f0827730%22	http://www.cascaderate.com/timeline/18?key=d6ae712434ab282af0e7980caca547ca	www.cascaderate.com/timeline/18f107.html	(from )
00:12:20	6286/6286	---MC-	200	added ('OK')	text/html	etag:%2279a27478a2d79779b78bfdcb64831bcb%22	https://www.cascaderate.com/users/sign_in	www.cascaderate.com/users/sign_in.html	(from )
00:12:20	7654/7654	---MC-	200	added ('OK')	text/html	etag:%22c701846ed3a829efc8968e175a66c30a%22	http://www.cascaderate.com/parity_grid/18?key=d6ae712434ab282af0e7980caca547ca	www.cascaderate.com/parity_grid/18f107.html	(from )
00:12:20	8163/8163	---MC-	200	added ('OK')	text/html	date:Mon,%2020%20Jun%202011%2018:38:08%20GMT	http://www.cascaderate.com/terms	www.cascaderate.com/terms.html	(from )
00:12:20	4536/4536	---MC-	200	added ('OK')	text/html	date:Mon,%2020%20Jun%202011%2018:51:00%20GMT	http://www.cascaderate.com/contact	www.cascaderate.com/contact.html	(from )
00:12:21	4984/4984	---M--	200	added ('OK')	image/gif	date:Tue,%2029%20Mar%202011%2005:49:05%20GMT	http://www.cascaderate.com/images/index/joinbar_2.gif?1265873223	www.cascaderate.com/images/index/joinbar_2e8d2.gif	(from http://www.cascaderate.com/)
00:12:21	204/204	---M--	200	added ('OK')	text/plain	date:Tue,%2029%20Mar%202011%2005:49:05%20GMT	https://www.cascaderate.com/robots.txt		(from http://www.cascaderate.com/)
00:12:22	4870/4870	---MC-	200	added ('OK')	text/html	etag:%22215448dab37ba434de04bc5aa0325ae6%22	https://www.cascaderate.com/users/password/new	www.cascaderate.com/users/password/new.html	(from http://www.cascaderate.com/)
00:12:22	15243/15243	---MC-	200	added ('OK')	text/html	etag:%22a719c595e6fb7a7e7841d4bdd520154c%22	http://www.cascaderate.com/data_sets/18?key=d6ae712434ab282af0e7980caca547ca	www.cascaderate.com/data_sets/18f107.html	(from http://www.cascaderate.com/)
00:12:22	8241/8241	---MC-	200	added ('OK')	text/html	etag:%22b637b2a152e9dcf8f0e0f80e01302106%22	http://www.cascaderate.com/grid/18?key=d6ae712434ab282af0e7980caca547ca	www.cascaderate.com/grid/18f107.html	(from http://www.cascaderate.com/)
00:12:22	11873/11873	---MC-	200	added ('OK')	text/html	etag:%22a59e3531f802157ca4be0b56bc351494%22	http://www.cascaderate.com/chart/18?key=d6ae712434ab282af0e7980caca547ca	www.cascaderate.com/chart/18f107.html	(from http://www.cascaderate.com/)
00:12:23	17257/17257	---MC-	200	added ('OK')	text/html	etag:%22b84d41d516bda075cecb08a94b267d58%22	http://www.cascaderate.com/market_map/18?key=d6ae712434ab282af0e7980caca547ca	www.cascaderate.com/market_map/18f107.html	(from http://www.cascaderate.com/)
00:12:24	7539/7539	---MC-	200	added ('OK')	text/html	etag:%22a5d7c05a8ceafc3c0a88ee0066ddfb4d%22	http://www.cascaderate.com/ranges/18?key=d6ae712434ab282af0e7980caca547ca	www.cascaderate.com/ranges/18f107.html	(from http://www.cascaderate.com/)
00:12:24	947/947	---MC-	404	error ('Not%20Found')	text/html		http://www.cascaderate.com/rate_temp	www.cascaderate.com/rate_temp.12.delayed	(from http://www.cascaderate.com/)
00:12:24	34/34	---MC-	200	added ('OK')	application/octet-stream		http://www.cascaderate.com/excel_get/18?key=d6ae712434ab282af0e7980caca547ca	www.cascaderate.com/excel_get/18f107html.html	(from http://www.cascaderate.com/timeline/18?key=d6ae712434ab282af0e7980caca547ca)
00:12:32	100/100	---MC-	302	error ('Found')	text/html		http://www.cascaderate.com/comp_sets/296/edit	www.cascaderate.com/comp_sets/296/edit.15.delayed	(from http://www.cascaderate.com/timeline/18?key=d6ae712434ab282af0e7980caca547ca)
00:12:32	3208/3208	---M--	200	added ('OK')	image/gif	date:Tue,%2029%20Mar%202011%2005:49:05%20GMT	http://www.cascaderate.com/images/ind3.gif	www.cascaderate.com/images/ind3.gif	(from http://www.cascaderate.com/timeline/18?key=d6ae712434ab282af0e7980caca547ca)
00:12:41	246525/246525	---MC-	200	added ('OK')	application/pdf		http://www.cascaderate.com/obtain_pdf/18?key=d6ae712434ab282af0e7980caca547ca	www.cascaderate.com/obtain_pdf/18f107.pdf	(from http://www.cascaderate.com/timeline/18?key=d6ae712434ab282af0e7980caca547ca)
00:12:41	1750/1750	---MC-	200	added ('OK')	application/octet-stream		http://www.cascaderate.com/replicator/?file_name=managed_leader.png&text=1&n=43&s=10&w=25&e=10&pointsize=20&text_color=000000	www.cascaderate.com/replicator/index8aec.html	(from http://www.cascaderate.com/market_map/18?key=d6ae712434ab282af0e7980caca547ca)
00:12:42	1459/1459	---MC-	200	added ('OK')	application/octet-stream		http://www.cascaderate.com/replicator/?file_name=competitor.png&text=&n=25&s=10&w=17&e=40&pointsize=15	www.cascaderate.com/replicator/index93b9.html	(from http://www.cascaderate.com/market_map/18?key=d6ae712434ab282af0e7980caca547ca)
00:12:42	1634/1634	---MC-	200	added ('OK')	application/octet-stream		http://www.cascaderate.com/replicator/?file_name=competitor.png&text=6&n=25&s=10&w=17&e=40&pointsize=15	www.cascaderate.com/replicator/indexcfef.html	(from http://www.cascaderate.com/market_map/18?key=d6ae712434ab282af0e7980caca547ca)
